"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests
Guatemala,"1,251,570",,"20,200",,"1,229,259",,"2,111",5,"67,347","1,087","7,316,750"
Lebanon,"1,237,556",,"10,914",,"1,087,587",,"139,055",74,"185,128","1,633","4,795,578"
Costa Rica,"1,230,552",,"9,366",,"860,711",,"360,475",52,"237,450","1,807","4,659,757"
Bolivia,"1,198,486",,"22,383",,"1,167,833",,"8,270",220,"99,935","1,866","2,710,261"
Tunisia,"1,153,261",,"29,415",,N/A,N/A,N/A,44,"95,733","2,442","5,012,458"
Cuba,"1,113,960",,"8,530",,"1,105,247",,183,2,"98,531",754,"14,345,279"
UAE,"1,067,030",,"2,349",,"1,054,525",,"10,156",,"105,837",233,"200,732,262"
Ecuador,"1,061,766",,"36,019",,"1,025,081",,666,759,"58,618","1,989","3,082,403"
Uruguay,"1,038,774",,"7,634",,"1,030,944",,196,18,"297,131","2,184","6,114,822"
Panama,"1,038,642",,"8,623",,"1,029,434",,585,16,"233,562","1,939","7,680,683"
Mongolia,"1,008,655",,"2,179",,"1,005,859",,617,192,"298,588",645,"4,030,048"
Nepal,"1,003,316",,"12,031",,"991,232",,53,,"33,194",398,"6,044,314"
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641"
Latvia,"977,891",,"6,344",,"971,406",,141,13,"528,922","3,431","7,875,835"
Saudi Arabia,"841,469",,"9,646",,"827,923",,"3,900",66,"23,475",269,"45,481,735"
Azerbaijan,"831,780",,"10,273",,"821,420",,87,,"80,754",997,"7,614,928"
Paraguay,"810,170",,"19,921",,N/A,N/A,N/A,7,"110,893","2,727","2,657,506"
Bahrain,"721,562",,"1,562",,"719,754",,246,3,"404,467",876,"10,847,873"
Sri Lanka,"672,393",,"16,869",,"655,474",,50,,"31,164",782,"6,486,117"
Kuwait,"665,885",,"2,570",,"660,237",,"3,078",,"152,017",587,"8,455,743"
Dominican Republic,"661,176",,"4,384",,"644,785",,"12,007",4,"59,800",397,"3,740,928"
Cyprus,"660,854",,"1,364",,"659,490",,0,60,"540,184","1,115","9,640,118"
Myanmar,"638,301",,"19,494",,"617,264",,"1,543",,"11,558",353,"10,596,195"
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533"
Moldova,"620,519",,"12,118",,"504,142",,"104,259",49,"154,621","3,020","3,216,305"
Estonia,"618,782",,"3,001",,"524,990",,"90,791",2,"468,097","2,270","3,714,801"
Venezuela,"552,695",,"5,856",,"546,537",,302,31,"18,885",200,"3,359,014"
Egypt,"516,023",,"24,613",,"442,182",,"49,228",122,"4,861",232,"3,693,367"
Qatar,"512,813",,690,,"511,433",,690,29,"172,090",232,"4,065,369"
Libya,"507,262",,"6,437",,"500,818",,7,,"72,047",914,"2,483,848"
Ethiopia,"500,884",,"7,574",,"488,102",,"5,208",1,"4,146",63,"5,550,570"
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660"
Honduras,"472,619",,"11,116",,N/A,N/A,N/A,105,"46,239","1,088","1,660,662"
Armenia,"449,148",,"8,749",,"435,162",,"5,237",,"151,128","2,944","3,242,901"
Bosnia and Herzegovina,"402,940",,"16,346",,"379,084",,"7,510",,"124,008","5,031","1,884,721"
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000"
North Macedonia,"348,281",,"9,677",,"337,068",,"1,536",,"167,338","4,649","2,226,216"
Zambia,"343,995",,"4,058",,"339,858",,79,,"17,668",208,"4,047,915"
Kenya,"343,074",,"5,688",,"337,309",,77,1,"6,103",101,"3,967,062"
Albania,"334,726",,"3,602",,"329,428",,"1,696",,"116,777","1,257","1,941,032"
Botswana,"329,862",,"2,801",,"327,049",,12,1,"135,125","1,147","2,026,898"
Luxembourg,"319,959",,"1,232",,"316,690",,"2,037",,"498,091","1,918","4,587,145"
Brunei,"299,505",,225,,"243,601",,"55,679",3,"672,394",505,"717,784"
Montenegro,"291,853",,"2,827",,"288,546",,480,6,"464,771","4,502","2,754,754"
Algeria,"271,827",,"6,881",,"183,040",,"81,906",,"5,994",152,"230,960"
Nigeria,"266,675",,"3,155",,"259,953",,"3,567",11,"1,230",15,"5,708,974"
Zimbabwe,"264,848",,"5,690",,"258,888",,270,12,"17,275",371,"2,525,756"
Uzbekistan,"253,662",,"1,637",,"241,486",,"10,539",23,"7,378",48,"1,377,915"
Mozambique,"233,417",,"2,243",,"228,805",,"2,369",11,"7,054",68,"1,371,127"
Martinique,"229,975",,"1,102",,N/A,N/A,N/A,12,"614,763","2,946","828,928"
Afghanistan,"220,819",,"7,913",,"196,593",,"16,313",45,"5,418",194,"1,257,125"
Laos,"218,221",+4,758,,N/A,N/A,N/A,,"29,170",101,"1,233,207"
Iceland,"209,191",,229,,N/A,N/A,N/A,2,"605,661",663,"1,996,384"
Kyrgyzstan,"206,890",,"2,991",,"196,406",,"7,493",131,"30,749",445,"1,907,195"
Guadeloupe,"202,836",,"1,017",,N/A,N/A,N/A,19,"507,351","2,544","938,039"
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114"
Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,8,"136,143","3,121","913,289"
Maldives,"186,625",,315,,"163,687",,"22,623",25,"344,973",582,"2,213,831"
Ghana,"171,657",,"1,462",,"170,161",,34,2,"5,299",45,"2,536,496"
Namibia,"171,310",,"4,091",,"167,099",,120,,"65,041","1,553","1,062,663"
Uganda,"170,775",,"3,632",,"100,431",,"66,712",3,"3,526",75,"3,012,408"
Jamaica,"154,938",,"3,545",,"102,923",,"48,470",,"51,904","1,188","1,183,986"
Cambodia,"138,745",,"3,056",,"135,680",,9,,"8,081",178,"3,091,420"
Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981"
Cameroon,"125,036",,"1,972",,"122,807",,257,13,"4,480",71,"1,751,774"
Malta,"118,677",,836,,"117,305",,536,4,"267,271","1,883","2,138,714"
Barbados,"107,794",,593,,"106,971",,230,,"374,255","2,059","801,451"
Angola,"105,384",,"1,934",,"103,419",,31,,"3,009",55,"1,499,795"
Channel Islands,"101,717",,228,,"101,321",,168,,"576,421","1,292","1,252,808"
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257"
DRC,"96,652",,"1,467",,"84,489",,"10,696",,"1,015",15,"846,704"
Senegal,"88,997",,"1,971",,"87,024",,2,,"5,041",112,"1,146,543"
Malawi,"88,728",,"2,686",,"85,651",,391,67,"4,397",133,"624,784"
Ivory Coast,"88,330",,834,,"87,492",,4,,"3,184",30,"1,690,172"
Suriname,"82,513",,"1,405",,N/A,N/A,N/A,,"138,252","2,354","241,842"
New Caledonia,"79,922",,314,,"79,605",,3,9,"274,726","1,079","98,964"
French Polynesia,"78,545",,649,,N/A,N/A,N/A,7,"276,407","2,284",
Eswatini,"74,670",,"1,425",,"73,116",,129,,"63,022","1,203","1,048,704"
Guyana,"73,207",,"1,298",,"71,880",,29,,"92,195","1,635","729,688"
Belize,"70,782",,688,,"70,085",,9,6,"171,722","1,669","576,016"
Fiji,"68,921",,883,,"67,029",,"1,009",,"75,782",971,"670,903"
Madagascar,"68,281",,"1,424",,"66,846",,11,,"2,340",49,"530,992"
Sudan,"63,993",,"5,046",,"58,679",,268,,"1,391",110,"562,941"
Cabo Verde,"63,885",,414,,"63,338",,133,23,"112,537",729,"401,622"
Mauritania,"63,715",,997,,"62,471",,247,,"12,998",203,"1,009,957"
Bhutan,"62,670",,21,,"61,564",,"1,085",,"79,536",27,"2,303,734"
Syria,"57,595",,"3,164",,"54,370",,61,,"2,974",163,"146,269"
Burundi,"53,749",,38,,"53,569",,142,,"4,257",3,"345,742"
Seychelles,"50,937",,172,,"50,750",,15,,"512,311","1,730",
Gabon,"48,992",,307,,"48,674",,11,,"21,013",132,"1,621,909"
Andorra,"48,015",,165,,"47,563",,287,14,"619,844","2,130","249,838"
Papua New Guinea,"46,864",,670,,"43,982",,"2,212",7,"5,043",72,"249,149"
Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693"
Aruba,"44,180",,236,,"42,438",,"1,506",2,"410,560","2,193","177,885"
Tanzania,"43,078",,846,,N/A,N/A,N/A,7,681,13,
Mauritius,"42,442",,"1,049",,"40,653",,740,,"33,295",823,"358,675"
Mayotte,"42,027",,188,,N/A,N/A,N/A,,"146,815",657,"176,919"
Togo,"39,497",,290,,"39,203",,4,,"4,550",33,"811,613"
Guinea,"38,563",,468,,"37,757",,338,8,"2,781",34,"660,107"
Bahamas,"38,084",,844,,"36,366",,874,1,"95,087","2,107","257,839"
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753"
Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221"
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000"
Haiti,"34,237",,860,,"33,357",,20,,"2,931",74,"132,422"
Mali,"33,148",,743,,"32,331",,74,,"1,544",35,"804,348"
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773"
Saint Lucia,"30,052",,409,,"29,095",,548,,"162,344","2,209","210,983"
Benin,"28,014",,163,,"27,847",,4,,"2,191",13,"604,310"
Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"1,623",81,"400,466"
Micronesia,"26,458",,65,,N/A,N/A,N/A,1,"225,196",553,"82,178"
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815"
Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,
San Marino,"24,263",,125,,"24,117",,21,4,"711,838","3,667","196,855"
Timor-Leste,"23,444",,138,,"23,102",,204,,"17,120",101,"278,529"
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995"
Liechtenstein,"21,445",,94,,"21,350",,1,,"558,653","2,449","112,457"
Gibraltar,"20,550",,113,,"16,579",,"3,858",,"609,720","3,353","534,283"
Grenada,"19,693",,238,,"19,358",,97,4,"173,545","2,097","182,981"
Bermuda,"18,860",,165,,"18,685",,10,,"304,493","2,664","1,029,558"
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280"
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697"
Tonga,"16,817",,13,,"15,638",,"1,166",,"156,076",121,"535,009"
Monaco,"16,771",,67,,"15,992",,712,4,"421,562","1,684","78,646"
Samoa,"16,763",,31,,"1,605",,"15,127",,"82,887",153,"187,397"
Marshall Islands,"16,081",,17,,"15,954",,110,,"267,762",283,
Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344"
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941"
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294"
Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"155,686"
Saint Martin,"12,303",,63,,"1,399",,"10,841",7,"309,665","1,586","112,382"
Vanuatu,"12,016",,14,,"11,976",,26,,"37,336",44,"24,976"
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926"
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592"
